Name,Role,Company
Praveen Vemulapalli,Director- Technology,AT&T
Pritesh Patel,"Public Sector Leader, UK&I",Databricks
Priyam Dutta,Senior Staff Software Engineer,Databricks
Pulkit Chadha,Sr. Solutions Architect,Databricks
Puneet Jain,Specialist Solution Architect,Databricks
Rachel Belino,Chief HR Data & Security Officer,Mars
Radhika Rangarajan,Co-Founder and Executive Officer,Women in Big Data
Rafael Barcelos,Software Architect,Microsoft Corporation
Rafi Kurlansik,Lead Solutions Architect,Databricks
Raghu Jayachandran,Senior Manager Enterprise Data,RaceTrac Inc.
Rahil Bhatnagar,"Development Lead, LOLA",Anheuser Busch
Rahul Pandey,Solution Architect,adidas
Raj Bains,Founder and CEO,Prophecy Inc
Raja Lanka,Executive Director of Cloud Tech,Morgan Stanley
Rajesh Iyer,Vice President Financial Services Insights & Data,Capgemini
Rakesh Kumar,Staff Software Engineer,Lyft Inc
Rakesh Singh,Lead Architect,ABN AMRO Bank N.V
Ramachandran Venkat,"Field Engineering Leader, Migrations",Databricks
Ravi Gawai,Lead Specialist Solutions Architect,Databricks
Rebecca Bucnis,Global Go to Market Lead - Modern Data Platform,Accenture
Reynold Xin,Co-founder and Chief Architect,Databricks
Reza Shabani,,Lexy Ai
Ricardo Portilla,Principal Solution Architect,Databricks
Rick Schultz,CMO,Databricks
Risha Ravindranath,"Sr Manager, Data Governance",Comcast Advertising
Rob Bajracharya,AI and ML Engineer,JetBlue
Rob Saker,"Global VP, Retail and Manufacturing",Databricks
Rob Reed,"Staff Program Manager, Worldwide University Engagement for Databricks",Databricks
Robert Lombardi,"Director, Product Management",Blackberry
Robin Sutara,Field CTO,Databricks
Robinson Creighton,Senior Manager of DataOps,Comcast Advertising
Rodrigo Beceiro,CTO & Cofounder,Marvik
Roger Murff,"VP, Business Development and Partner",Databricks
Roger Dunn,"Co-founder, CTO",Exponam
Roie Schwaber-Cohen,Staff Developer Advocate,Pinecone
Roland Fäustlin,Product Manager,Databricks
